longitude,latitude,forest_loss_prediction
82.1551,28.5305,0
83.075,27.6561,0
82.7875,27.923,0
80.4373,28.769,0
81.5396,28.3879,1
81.8063,28.6528,1
81.3091,28.5415,0
86.112,27.2283,0
80.8831,28.5489,0
80.5285,29.1514,0
84.0651,27.5216,0
82.6109,27.9506,0
87.9522,26.4637,0
81.8468,28.3053,1
81.6207,28.4471,1
81.1808,28.8102,0
81.2986,28.7415,0
81.5339,28.3555,0
83.0164,27.9736,1
81.3043,28.7967,1
82.0991,28.1689,0
81.3097,29.664,1
81.3848,28.9615,0
80.7163,29.0361,0
80.2659,29.0679,0
82.5385,27.9072,1
82.8177,28.093,0
81.4757,28.4112,1
80.986,28.8847,0
80.4821,28.9972,0
80.6309,28.9477,0
80.4046,29.167,0
81.0077,28.8936,1
84.9267,28.3668,0
80.3711,29.1097,0
81.8732,28.4107,0
81.5105,28.6906,0
81.2711,28.7637,1
82.2122,27.8734,0
85.7178,27.6821,0
82.1767,27.9512,0
80.8619,28.6444,0
81.5168,28.6066,0
81.6067,28.3757,0
82.4722,27.8074,0
80.1499,28.8725,0
82.057,28.2041,0
82.25,28.3594,0
80.6127,29.0967,1
82.0916,28.069,0
82.9019,27.8292,0
81.4146,28.3896,0
80.6652,28.9991,0
80.4789,29.409,1
82.8575,27.941,0
85.284,27.1881,0
82.1563,28.0134,1
82.1091,28.3223,0
81.5061,28.4686,0
80.2551,29.079,0
84.2224,27.5256,0
86.0129,27.0567,1
82.0387,28.5833,0
81.5242,28.469,0
81.3389,28.6057,1
80.6475,28.6865,0
81.7223,28.2586,0
82.2291,27.994,0
83.0107,28.1335,0
81.4098,28.974,1
81.4877,28.6948,0
81.1269,29.1414,0
81.855,28.1808,0
81.9588,28.3081,0
81.6547,28.3249,0
82.7352,27.869,0
81.8241,28.2247,0
84.1052,27.5388,0
80.6475,28.6865,1
82.1218,28.0229,0
80.8634,28.6298,0
80.167,28.886,0
82.6407,27.7853,1
81.8213,27.9344,1
82.5823,27.7601,0
80.9733,28.9014,1
83.0417,28.1484,0
80.8523,28.9371,1
80.1619,28.911,0
80.61,29.0898,1
81.4697,28.4131,1
81.835,28.1497,0
82.0695,28.4269,0
82.5843,27.7616,0
81.8628,28.1451,0
81.8998,28.2058,0
81.4687,28.4813,0
80.3685,29.4467,0
84.9094,27.2641,0
83.0317,27.6223,0
82.3813,27.8217,0
86.5895,26.7651,0
81.5427,28.4776,1
84.9044,27.2898,1
80.9692,28.9848,0
80.8734,29.0304,0
83.6639,28.5189,0
86.0364,26.9895,1
81.8648,28.1545,0
81.7666,28.5113,1
81.1572,28.9295,1
86.2063,27.0853,0
87.7517,27.211,0
81.5294,28.4167,1
84.4225,27.5537,0
81.6547,28.3249,0
81.5061,28.4686,0
80.5517,28.9047,1
82.252,28.6625,1
81.5061,28.4686,0
81.5969,28.3175,0
82.5324,27.9349,0
82.7512,27.9167,1
86.063,27.6563,0
81.8347,28.2676,1
81.3457,28.5929,0
81.4337,28.3782,0
81.9686,28.0532,0
81.5243,28.4657,0
81.8638,28.36,0
85.6976,27.0336,0
80.5315,29.1372,0
84.8079,27.2604,1
83.0876,27.6691,0
